Site_Name,Station,Ntwk,Elev,Lat,Lon,state
Albro Lake,11D28S,SNTL,8300,45.6,-111.96,MT
Ambrose,13C16,SNOW,6480,46.51,-113.87,MT
Arch Falls,10D14,SNOW,7350,45.43,-110.96,MT
Ashley Divide,14A19,SNOW,4820,48.2,-114.51,MT
Badger Pass,13A15S,SNTL,6900,48.13,-113.02,MT
Banfield Mountain,15A08S,SNTL,5600,48.57,-115.45,MT
Baree Creek,15B11,SNOW,5500,47.96,-115.54,MT
Baree Midway,15B16,SNOW,4600,47.96,-115.52,MT
Baree Trail,15B15,SNOW,3800,47.95,-115.49,MT
Barker Lakes,13C44S,SNTL,8250,46.1,-113.13,MT
Basin Creek,12D09,SNOW,7180,45.8,-112.52,MT
Basin Creek,12D09S,SNTL,7180,45.8,-112.52,MT
Bassoo Peak,14B03,SNOW,5150,47.86,-114.76,MT
Beagle Springs,12E08S,SNTL,8850,44.47,-112.98,MT
Bear Basin,11D09,SNOW,8150,45.32,-111.37,MT
Beaver Creek,11E38S,SNTL,7850,44.95,-111.36,MT
Big Snowy,09C05,SNOW,7150,46.78,-109.53,MT
Bisson Creek,13B25S,SNTL,4920,47.68,-114,MT
Black Bear,11E35S,SNTL,8170,44.51,-111.13,MT
Black Mountain,12C19,SNOW,7750,46.32,-112.58,MT
Black Pine,13C13S,SNTL,7210,46.41,-113.43,MT
Blacktail,14B04,SNOW,5650,47.98,-114.25,MT
Blacktail Mtn,14B04S,SNTL,5650,47.98,-114.35,MT
Bloody Dick,13D10S,SNTL,7600,45.17,-113.5,MT
Bots Sots,09D14,SNOW,7750,45.17,-109.48,MT
Boulder Mountain,11C01S,SNTL,7950,46.56,-111.29,MT
Box Canyon,10D31S,SNTL,6670,45.27,-110.25,MT
Boxelder Creek,09A08,SNOW,5100,48.17,-109.6,MT
Brackett Creek,10D35S,SNTL,7320,45.89,-110.94,MT
Bristow Creek,15A10,SNOW,3900,48.56,-115.39,MT
Brush Creek Timber,14A13,SNOW,5000,48.37,-114.87,MT
Bull Mountain,12D08,SNOW,6600,45.92,-112.77,MT
Burnt Mtn,09D21S,SNTL,5880,45.24,-109.46,MT
Cabin Creek,12B06,SNOW,5200,47.7,-112.88,MT
Calvert Creek,13D26S,SNTL,6430,45.88,-113.33,MT
Camp Senia,09D01,SNOW,7890,45.17,-109.47,MT
Carrot Basin,11E29,SNOW,9000,44.96,-111.29,MT
Carrot Basin,11E29S,SNTL,9000,44.96,-111.29,MT
Chessman Reservoir,12C05,SNOW,6200,46.48,-112.19,MT
Chicago Ridge,15B22,SNOW,5800,48.06,-115.7,MT
Chicken Creek,14A15,SNOW,4060,48.62,-114.53,MT
Clover Meadow,11D08S,SNTL,8600,45.02,-111.85,MT
Cole Creek,09D16S,SNTL,7850,45.19,-109.35,MT
Combination,13C33S,SNTL,5600,46.47,-113.39,MT
Copper Bottom,12B16S,SNTL,5200,47.06,-112.6,MT
Copper Camp,12B14,SNOW,6950,47.08,-112.73,MT
Copper Camp,12B14S,SNTL,6950,47.08,-112.73,MT
Copper Mountain,12C09,SNOW,7700,46.02,-112.42,MT
Cottonwood Creek,12C17,SNOW,6400,46.36,-112.57,MT
Coyote Hill,13B10,SNOW,4200,47.33,-113.58,MT
Crevice Mountain,10D05,SNOW,8400,45.04,-110.61,MT
Crystal Lake,09C01S,SNTL,6050,46.79,-109.51,MT
Dad Creek Lake,13E22,SNOW,8800,44.78,-113.12,MT
Daisy Peak,10C15S,SNTL,7600,46.67,-110.33,MT
Daly Creek,13C39S,SNTL,5780,46.18,-113.85,MT
Darkhorse Lake,13D19S,SNTL,8600,45.17,-113.58,MT
Deadman Creek,10C09S,SNTL,6450,46.79,-110.68,MT
Desert Mountain,13A02,SNOW,5600,48.41,-113.95,MT
Discovery Basin,13C42,SNOW,7050,46.26,-113.23,MT
Divide,12E07S,SNTL,7800,44.79,-112.06,MT
Dix Hill,12C15,SNOW,6400,46.7,-112.55,MT
Dupuyer Creek,12A02S,SNTL,5750,48.06,-112.76,MT
Eagle Creek,10C13,SNOW,7000,46.22,-110.43,MT
East Boulder Mine,10D39S,SNTL,6335,45.5,-110.08,MT
El Dorado Mine,13C09,SNOW,7800,46.43,-113.06,MT
Elk Horn Springs,13D15,SNOW,7800,45.47,-113.1,MT
Elk Peak,10C07,SNOW,8000,46.48,-110.72,MT
Elk Peak,10C27S,SNTL,7600,46.48,-110.71,MT
Emery Creek,13A24,SNOW,4350,48.43,-113.94,MT
Emery Creek,13A24S,SNTL,4350,48.43,-113.94,MT
