Site_Name,Station,Ntwk,Elev,Lat,Lon,state
Abbey,ABY,SNOW,5650,39.95,-120.54,CA
Adin Mountains,20H08,SNOW,6190,41.23,-120.79,CA
Adin Mtn,20H13S,SNTL,6190,41.24,-120.79,CA
Agnew Pass,AGP,SNOW,9450,37.72,-119.14,CA
Alpha,APH,SNOW,7600,38.8,-120.22,CA
Antelope Ridge,ANR,SNOW,5650,40.16,-120.54,CA
Antelope Springs,ATS,SNOW,4350,38.5,-120.47,CA
Anthony Peak,ATP,SNOW,6200,39.84,-122.95,CA
Ash Creek,ASH,SNOW,5000,41.4,-122.05,CA
Badger Flat,BDF,SNOW,8300,37.27,-119.11,CA
Beach Meadows,BHM,SNOW,7650,36.12,-118.29,CA
Bear Basin,BBS,SNOW,6500,40.97,-122.87,CA
Bear Valley Ridge 1,BV1,SNOW,6700,38.62,-120.23,CA
Beard Meadow,BMD,SNOW,9800,37.11,-118.84,CA
Beehive Meadow,BHV,SNOW,6500,37.99,-119.78,CA
Bell Meadow,BEM,SNOW,6500,38.17,-119.94,CA
Bench Lake,BNH,SNOW,10600,36.96,-118.44,CA
Big Flat (course),BFT,SNOW,5100,41.08,-122.94,CA
Big Meadows,BMS,SNOW,7600,36.72,-118.84,CA
Big Pine Creek 2,BP2,SNOW,9700,37.13,-118.47,CA
Big Pine Creek 3,BP3,SNOW,9800,37.13,-118.47,CA
Big Whitney Meadow,BWH,SNOW,9750,36.44,-118.26,CA
Bighorn Plateau,BGH,SNOW,11350,36.62,-118.38,CA
Bishop Lake,BSP,SNOW,11300,37.12,-118.55,CA
Bishop Pass,BSH,SNOW,11200,37.1,-118.56,CA
Black Springs,BLS,SNOW,6500,38.38,-120.19,CA
Blackcap Basin,BCB,SNOW,10300,37.07,-118.77,CA
Blacks Mountain,BMN,SNOW,6700,40.76,-121.19,CA
Bloods Creek,BLD,SNOW,7200,38.45,-120.03,CA
Blue Lake Ranch,20H14,SNOW,6830,41.15,-120.25,CA
Blue Lakes,19L05S,SNTL,8057,38.61,-119.92,CA
Bonita Meadows,BNM,SNOW,8300,36.04,-118.33,CA
Bowman Lake,BOM,SNOW,5650,39.46,-120.6,CA
Box Camp,BXC,SNOW,6450,41.6,-123.17,CA
Brewer Creek,BWR,SNOW,6250,41.44,-122.1,CA
Browns Camp,BCP,SNOW,5400,39.9,-121.26,CA
Bullfrog Lake,BLF,SNOW,10650,36.77,-118.4,CA
Burney Springs,BNS,SNOW,4700,40.78,-121.62,CA
Burnside Lake,19L41S,SNTL,8129,38.72,-119.89,CA
Caples Lake,20L11,SNOW,8000,38.71,-120.04,CA
Carson Pass,19L45S,SNTL,8353,38.69,-119.99,CA
